antecedent,consequent,fitness,support,confidence,lift,coverage,rhs_support,conviction,amplitude,inclusion,interestingness,comprehensibility,netconf,yulesq
"[thal([1, 3]), cp([0, 3]), thalach([88, 145]), exang([0, 1])]","[restecg([1, 2]), trestbps([150, 185]), fbs([0, 1])]",0.03789220114423367,0.021463414634146343,0.05432098765432099,0.7627261965161509,0.3951219512195122,0.07121951219512195,0.9821308030312678,0.29543287861017964,0.5,0.016370365806876692,0.6666666666666667,-0.027937076861808026,-0.2188699260553493
"[thal([2, 3]), cp([1, 2]), exang(1)]","[thalach([105, 149]), slope(2)]",0.037177700348432055,0.002926829268292683,0.07142857142857142,0.7872503840245776,0.04097560975609756,0.09073170731707317,0.9792120075046902,0.7994910941475827,0.35714285714285715,0.0023041408860756023,0.6131471927654585,-0.020127888388315644,-0.13427047988366456
"[restecg([0, 2])]","[thal([1, 2]), sex(0), thalach([155, 188]), slope(1)]",0.037073170731707315,0.037073170731707315,0.037073170731707315,1.0,1.0,0.037073170731707315,0.9999999999999998,0.6829516539440204,0.35714285714285715,0.03707182983415795,0.8982444017039272,0.0,0.0
"[age([37, 70])]","[thal([2, 3]), cp([1, 2]), exang(1), slope([1, 2])]",0.03592832254853161,0.0351219512195122,0.036734693877551024,0.9654631083202514,0.9560975609756097,0.03804878048780488,0.998635799917321,0.6291666666666667,0.35714285714285715,0.033907786293760636,0.8982444017039272,-0.0299319727891153,-0.30386740331491713
"[oldpeak([1.590863857969564, 4.348050165638081])]","[exang(1), fbs([0, 1]), target([0, 1]), thal(3), slope(2), cp(0)]",0.035582655826558264,0.015609756097560976,0.05555555555555555,1.2379227053140096,0.2809756097560976,0.0448780487804878,1.011305595408895,0.6507560758601725,0.5,0.01932337721680504,0.9357849740192015,0.014849992461932748,0.161873459326212
"[ca(3), target(0)]","[thal(2), sex(1), trestbps([107, 167]), thalach([101, 196]), oldpeak([1.813308280947931, 5.8608694537372825])]",0.03528455284552846,0.003902439024390244,0.06666666666666667,2.0098039215686274,0.05853658536585366,0.033170731707317075,1.03588850174216,0.7222769967474569,0.5,0.007843107394058158,0.8616541669070521,0.035578583765112255,0.3800738007380074
"[sex(1), exang([0, 1])]","[cp(1), slope([1, 2]), thal(3)]",0.03448294735401772,0.02829268292682927,0.04067321178120617,1.4375876577840112,0.6956097560975609,0.02829268292682927,1.0129054343175008,0.7,0.35714285714285715,0.0406720890940993,0.7737056144690831,0.04067321178120614,1.0
[thal(1)],"[trestbps([121, 148]), oldpeak([1.841311402428328, 5.380822163892053]), restecg([1, 2]), thalach([83, 164]), slope(1), fbs([0, 1]), cp([1, 2]), chol([134, 379])]",0.033201219512195124,0.003902439024390244,0.0625,16.015625,0.0624390243902439,0.003902439024390244,1.06250406504065,0.5737088346399791,0.6428571428571429,0.06249976204640095,0.9542425094393249,0.06249999999999999,1.0
"[thal(2), fbs(1), thalach([140, 194])]","[exang([0, 1]), restecg(1), sex(0), slope([1, 2])]",0.032075659532105526,0.002926829268292683,0.061224489795918366,0.4075006626027034,0.04780487804878049,0.15024390243902438,0.905174973488865,0.7268266085059978,0.5,0.0011926814605103767,0.7739760316291208,-0.09348862495817999,-0.474578070268549
[sex(0)],"[thalach([153, 202]), exang(1), target(1), thal([1, 3]), cp([0, 3])]",0.03135553470919325,0.014634146341463415,0.04807692307692308,1.331860706860707,0.304390243902439,0.03609756097560975,1.0125843803892582,0.6598812553011026,0.42857142857142855,0.019490366218504234,0.9207822211616018,0.017221383104973568,0.2266998047221729
"[oldpeak([0.0, 4.228769434639233]), thalach([150, 185]), thal([2, 3]), slope(2), cp(2)]","[fbs([0, 1]), chol([136, 400]), ca(2)]",0.0309736892644517,0.006829268292682927,0.05511811023622047,0.4312676564284426,0.12390243902439024,0.1278048780487805,0.9230731707317071,0.6393364727360064,0.5714285714285714,0.0029452229084367437,0.6309297535714574,-0.0829665222804833,-0.46615430091634646
"[age([34, 77])]","[fbs([0, 1]), target(1), slope([0, 1]), thal([1, 3]), exang(1), thalach([71, 202]), sex([0, 1])]",0.03030314612646616,0.03024390243902439,0.030362389813907934,1.0039177277179236,0.9960975609756098,0.03024390243902439,1.000122197585612,0.3671875,0.5714285714285714,0.030361493933756378,0.946394630357186,0.03036238981390634,1.0
"[cp(2), target([0, 1]), slope(1)]","[exang(1), fbs(1), sex(1), trestbps([141, 200])]",0.030199556541019953,0.005853658536585366,0.05454545454545454,9.318181818181818,0.1073170731707317,0.005853658536585366,1.0515009380863036,0.7776280323450135,0.5,0.054545143042561244,0.7739760316291208,0.054545454545454536,1.0
"[thalach([114, 136]), thal([1, 3]), age([37, 51]), fbs([0, 1])]","[target(1), sex(0), exang([0, 1])]",0.029765301426599174,0.002926829268292683,0.05660377358490566,0.25672065453331105,0.05170731707317073,0.22048780487804878,0.8262829268292681,0.5533896764812796,0.5,0.0007513753799475123,0.6666666666666667,-0.17282009472785154,-0.6645517653205941
"[thal([2, 3]), thalach([71, 202]), slope(1), sex([0, 1]), age([31, 66]), cp([1, 2])]","[exang([0, 1]), fbs(1)]",0.02924261874197689,0.005853658536585366,0.05263157894736842,0.3525971792225662,0.11121951219512195,0.14926829268292682,0.8979945799457991,0.45052083333333337,0.5714285714285714,0.0020639717009569097,0.5,-0.10872956265526602,-0.5519061583577712
"[trestbps([101, 133]), target([0, 1])]","[slope([0, 2]), fbs([0, 1]), thal([2, 3]), thalach([183, 200])]",0.02813146632318112,0.02048780487804878,0.03577512776831346,1.3581298504637518,0.5726829268292682,0.026341463414634145,1.0097836766353527,0.3725014803079041,0.42857142857142855,0.027824543204421532,0.8270874753469162,0.022076497631327154,0.4552454282964389
"[exang([0, 1]), sex(1)]","[trestbps([94, 121]), thal([2, 3]), age([44, 48]), target(1)]",0.027348544453186466,0.0224390243902439,0.03225806451612903,0.9447004608294931,0.6956097560975609,0.03414634146341464,0.9980487804878045,0.7214360587002097,0.42857142857142855,0.021197692617681483,0.8270874753469162,-0.0062034739454094245,-0.09090909090909091
"[exang([0, 1]), cp([1, 3])]","[slope([1, 2]), thal(1)]",0.02726071692535107,0.018536585365853658,0.03598484848484849,0.6959333905088622,0.5151219512195122,0.05170731707317073,0.9836906416215436,0.45833333333333337,0.2857142857142857,0.012899995408271029,0.6826061944859854,-0.03242561429181146,-0.32597785695130826
"[sex([0, 1]), exang(0)]","[trestbps([155, 165]), thal([2, 3]), cp([0, 2])]",0.026908177905308465,0.021463414634146343,0.03235294117647059,1.0049019607843137,0.6634146341463415,0.03219512195121951,1.0001630958558823,0.5811320754716982,0.35714285714285715,0.021568175805717887,0.7737056144690831,0.00046888320545608993,0.007541478129713424
